,region,name,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,ASM,American Samoa,28.62408315043477,28.4688066966123,28.313534487925594,28.10650006511062,28.15825888306086,28.417053022692247,28.417053022692247,28.417053022692247,28.417053022692247,28.26178291461268,28.00299062256262
1,AGO,Angola,25749.192230558605,25353.078734355935,25185.74060657079,25222.765475903463,25195.515299449427,25136.21218056837,24867.793569733152,24880.698453049412,24644.550078939057,24735.63900284282,24642.78965252855
2,AIA,Anguilla,3.757147041568537,2.69089477907012,2.5385776192455833,2.690874569250187,3.4017232445425685,4.214136037329228,4.112585179661273,3.909492812114555,3.300203900372724,2.995532316738177,3.097084688800924
3,ATG,Antigua and Barbuda,755.1135332065659,693.4306879333628,691.6994594335383,699.9993727280803,738.3628535822336,742.2383557809403,759.4506853291832,768.4067733107382,776.0435004427401,772.5756294705509,763.1951608830349
4,ABW,Aruba,48.33909349786978,40.56987104616939,37.44133660607144,36.867777126645386,37.1806363813058,38.432029861496005,38.432029861496005,38.432029861496005,36.033488910770075,36.033488910770075,38.01488793114399
5,AUS,Australia,935547.2478457651,912301.4776142662,896885.0597949541,896724.9176282426,890461.7841011216,880994.1846698096,875100.6698006664,877996.7727124321,883034.0371901136,885472.8284566185,880092.47773414
6,BHS,Bahamas,148400.92562619786,139202.39464147852,132519.78072168946,132298.9517763823,128126.26540819666,125711.97739894493,125819.4185515969,126668.86578986364,127123.25257477834,128847.37399770728,131526.4130680078
7,BHR,Bahrain,56.30355037301992,75.1702401307482,79.3554771019988,80.70254384903683,73.73460875005951,52.066254132975345,50.334752304876815,50.72097179367657,52.06950091562772,51.39567011364909,51.247046024160824
8,BGD,Bangladesh,390487.92221979675,394856.3890465321,394268.3582865922,393480.9247412642,393261.040431753,391530.7970724673,392038.8587854798,391031.26228241675,393490.1234064346,392839.69042167015,393857.3777210737
9,BRB,Barbados,8.584330027970513,9.052581433436195,9.312723264026406,9.156643980942508,9.624881008189742,8.896492108739055,8.376215340565127,8.220133638276758,8.220131264732302,8.688374043217436,9.520816361024808
10,BLZ,Belize,48206.88069935847,46827.22490634724,46067.78700580905,45727.55376678735,45384.51839021871,45086.98271694235,44920.1969047977,45145.959114368154,45787.61380912848,46073.47030970147,45877.52836880585
11,BEN,Benin,2556.6816754284573,1964.5935194063911,1841.9387045742208,2008.8610351145746,2307.3544310507727,2488.761397576339,2597.9413169724035,2585.2647627836063,2575.539803812054,2549.592795842532,2503.3709586214427
12,BMU,Bermuda,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813,18.387610213012813
13,BES,"Bonaire, Sint Eustatius and Saba",217.53133554541122,187.35067126412716,179.04822159549042,175.34086477783492,168.97058614952903,163.85352430061275,160.40729038721898,161.97371139276376,160.82494208284226,159.36290916390516,161.5559802091541
14,BRA,Brazil,1007534.1918404733,997248.3439285983,993494.2659378154,993397.4549856058,989339.4484613966,984450.6062851724,989035.2216310627,997292.4544631551,999832.0654045491,999517.9131728654,998843.0317421131
15,VGB,British Virgin Islands,80.7299375174445,73.69312678329959,72.42735591139807,76.22632612684353,79.1135029839756,81.24029079457823,83.51766654400463,84.62832584438212,85.94426520790901,82.90612331922036,86.39851149962995
16,BRN,Brunei,10064.450976297687,10079.1304288278,10061.633203521942,10096.259167995357,10082.750092472728,10041.04878466724,10005.411900889543,10008.762394227691,10055.56757716339,10127.638218273765,10097.268784140177
17,KHM,Cambodia,56771.59123840007,54882.4430746495,54176.37281966998,53937.83938036786,53818.89560029033,53422.42190593587,53374.00268004583,53451.80054493657,53617.94617977076,53956.85511488928,54528.66490596346
18,CMR,Cameroon,172412.06989395042,173191.70659777068,173105.60012510326,173114.47988144495,173294.9748109813,173696.95068497717,173237.44145490072,172939.82176587358,172919.7627815625,173335.05712146792,173048.53113564194
19,CYM,Cayman Islands,4112.4695207257455,3978.1854033477643,3936.6789781342277,3928.713137001187,3915.401471753487,3889.0236703292903,3879.03834651341,3880.251722549828,3886.861835687416,3897.454699719727,3891.1481302586853
20,CHN,China,21511.732645444452,19197.419654488218,18484.133206453116,17892.861152849764,17648.91806822584,18167.243578477362,18650.833621461905,18742.561555811368,18424.48678114695,18375.381013470535,18137.00741758007
21,COL,Colombia,252901.73427964436,243352.66001386679,241924.91608812482,242794.4835216204,243621.38726678133,242516.3030594032,241679.7305110651,241655.26666540487,243390.43169407075,244766.13230873857,244465.4001210981
22,COM,Comoros,84.90526951911353,85.89670642226207,86.52287335861135,86.57530996482916,85.27094940166499,83.54879414685342,83.07897224300129,83.91341897515619,86.05332403288867,86.20983303554027,85.16628175652826
23,COK,Cook Islands,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538,2.872603346132538
24,CRI,Costa Rica,33312.80082358909,33661.84172981981,33631.47278427922,33667.187326475774,33615.095000355315,33482.673523306265,33455.417827483056,33460.07038451244,33253.32145671258,32739.82881443936,32331.174789223584
25,CUB,Cuba,341461.7210453505,324186.56635564176,318566.9623122327,318677.24927731644,315541.5052629187,307222.7479480152,304275.7126446272,305343.13416809845,307878.9208115107,308531.41303090565,308211.6651266188
26,CUW,Curaçao,39.103354116495105,39.103354116495105,39.103354116495105,39.05113273505232,38.99891004424944,38.99891004424944,38.94668756458067,38.99891021315765,38.99891021315765,38.99891021315765,38.99891021315765
