,index,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,3,ASM,American Samoa,0.0,0.0,0.0,0.025737092858561073,0.12868548909576707,0.0,0.0,0.0,0.0,0.0,0.08178752522956709,0.08178528922313665,0.10904958647965349,0.0,0.0,0.0,0.0,0.0,0.0817841827871318,0.13631159518532238
1,5,AGO,Angola,105.6553091813542,58.60972004380511,115.62516188079263,91.69582496996468,111.88041139259738,61.189785253866646,134.52335582940975,85.35638779068121,175.00592565986304,95.11109177765027,320.5591045912953,150.22414252768547,102.9763532264241,111.48382596088959,149.74772574690277,206.19844079511017,135.69915443949122,214.79993344619982,137.39983698853834,149.65404116357826
2,6,AIA,Anguilla,0.05049648685109501,0.0,0.17672291243593738,0.4039661798766975,0.42922082849380017,0.0504965496040974,0.15148496936864722,0.0,0.10098352063011465,0.10099344433999571,0.6151079011053905,0.08022879995886305,0.10697897382107312,0.053489270874311476,0.026744685292582362,0.10697850851127617,0.26743657360348094,0.32092587777765436,0.267445955501633,0.05348937058358194
3,8,ATG,Antigua and Barbuda,3.9276637346374574,7.400330004765944,14.669140716350825,23.788209743071583,12.64313502299936,15.046083719026608,12.586950557615552,15.882774080795237,11.600350446746914,5.7242453950096435,36.65016500954718,8.75081740447714,11.166821203635562,4.99122706864753,11.35117056715623,6.871739530039656,8.615599761606974,12.801700328959917,14.114497284701216,11.004415771296474
4,11,ABW,Aruba,0.20741693278555512,0.0,0.18149742700238342,0.3889236311173728,0.9333957204854062,0.0,0.0,0.0518535815793809,0.0,1.03710503431266,4.311930791796846,1.6478679358791377,0.4943610243160933,0.24718494904213578,0.32958080516046667,0.0,0.0,1.3182912000095977,0.0,0.054926899161251874
5,12,AUS,Australia,8231.2173457793,4030.7765867295648,7108.476384820395,5876.778595177136,7016.193246446093,6144.072712273337,8208.258053906558,8749.953687030149,8903.752565830888,6677.208169511234,20963.133307333665,12389.843797213789,7614.140124392592,9524.020508086869,12418.830003494066,9612.470638714427,7169.31337726741,6615.317933843486,8146.905363218559,9906.90973137754
6,15,BHS,Bahamas,131.14873827921588,167.4315621228886,1311.3719859543787,769.3369543696031,1620.5939412517291,1781.208481134639,1563.1329624089153,1476.079631903114,1771.3607583977987,2066.55165106729,4983.990504001473,3697.2348967188027,1505.4113508276748,3012.7806338238365,2988.3037859095507,1830.1875701229396,1208.3559674629128,1324.2300947088706,968.215106361354,777.925572915772
7,16,BHR,Bahrain,11.441751292298479,2.2486949840351946,1.2444557595414862,0.503235092011663,0.0,0.0,0.31152828413405304,0.6945210088552034,0.0,0.5731128081280574,2.1823934645425394,0.17751680627416383,0.6086838925667084,4.2032261594294695,11.413199208902974,0.9120201161507253,0.12656199613178584,0.025384712906442782,0.35492151166906977,0.6853642943060685
8,17,BGD,Bangladesh,6818.142240431442,1201.4134388546604,1437.232189071257,1335.3075481452577,3081.183704842538,1844.830270414754,1620.6429763076094,2317.7552543115776,1774.368826443993,2089.3727671291504,4921.280109680406,1582.3489307476705,1937.174292390543,1530.2679929265494,4175.160089659244,1686.564503458336,2247.4203553806274,1159.990369131749,2222.1315208237415,1677.1698143808558
9,18,BRB,Barbados,0.23283819802858252,0.23283474820501437,0.025870903329538314,0.3104436903780823,0.0,0.0,0.0258697911653926,0.025869768458643923,0.23283390825906597,0.43980322307381425,0.0,0.109612238437958,0.10961464278689931,0.0822126770566701,0.3836584622087467,0.2740412229663026,0.10961473895396631,0.027404297782718162,0.0,0.027404297782718162
10,21,BLZ,Belize,260.26725406831355,143.76034131873664,131.8708714707888,205.79065992729886,284.73420924212286,253.07522605664366,268.44577241605293,603.6259367873195,387.59820732959867,133.95411667994642,1002.3881391478853,552.2935485553395,318.8950797586161,398.6719785796529,458.3287497865175,355.9245365236526,165.44240064658447,301.4286836168728,260.00391331451397,245.10039514980377
11,22,BEN,Benin,44.21417151908884,48.7526765272756,139.50848671420945,187.0202581185011,149.1892006524765,106.2867944785088,58.06361700208568,75.8905718585644,65.7137995454459,68.82525646896354,358.70056899987014,116.24719621400459,59.85537103406995,40.88174914560526,62.4804761147697,55.07885604126491,68.18201814070488,85.51089126290769,83.27546051749441,97.25052957383932
12,26,BES,"Bonaire, Sint Eustatius and Saba",0.2596481261507829,0.05192964213137112,1.9213562763814522,1.0904889384121048,1.5318853455254535,1.2982066199091384,2.284839792776485,1.6616947009155778,1.0904916346149878,2.544499041125243,16.171857279517088,4.428090411274015,3.9879798448375734,4.510487225666307,4.317947965703973,3.1903574594545563,1.5951918856135474,2.3652640047248146,1.9252090560823922,1.540170550363678
13,30,BRA,Brazil,10003.962270967657,4101.598745461436,4551.587493352326,4179.3143967939895,9839.697950853564,8495.075207649596,9057.29711763305,7474.205155648724,7804.1782285526115,6354.9730451118285,16014.671032443683,6322.052496719167,4872.348663398262,6564.460135246972,12997.949219044502,6583.753282915243,5244.849156973359,6579.525955141963,8432.196113763195,7087.101781683425
14,31,VGB,British Virgin Islands,1.6372912751332387,0.8309963809730543,3.5759346136645114,2.9712842200767065,2.492933158709122,3.3485459235324093,3.7259462761954287,2.3665881004895954,4.103797817938256,2.5173178245422863,5.440775198605837,1.5469582008419844,1.7868759978928934,1.6266501175374983,1.5204612403616309,2.3474674632543193,3.3617712415189085,1.8137195387750245,5.947282606541685,0.8269993984838
