,region,name,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,ASM,American Samoa,32.59926676415883,32.422426216507105,32.24559050353646,32.00980407351393,32.0687509227419,32.36348522568905,32.36348522568905,32.36348522568905,32.36348522568905,32.18665190504839,31.891919706266336
1,AGO,Angola,29325.12395503002,28874.000002387424,28683.422709874212,28725.58942612991,28694.55486802977,28627.015999371863,28321.320622052874,28336.01767738129,28067.0740817703,28170.81302474336,28065.06917527694
2,AIA,Anguilla,4.278922683272128,3.064594113850479,2.8911238336048855,3.0645710973818714,3.87413923177479,4.799376250388793,4.683722467458928,4.452425547567208,3.758521338795572,3.4115383392646166,3.5271938469015947
3,ATG,Antigua and Barbuda,859.9802962022017,789.7312154800148,787.7595617715314,797.2121296035268,840.9033577135615,845.3170721845804,864.9197724571745,875.1196415582938,883.816922923529,879.8674496659248,869.1842638936462
4,ABW,Aruba,55.05220886177929,46.20403182421272,42.64102062634795,41.9878077923628,42.34411552975686,43.76929689445779,43.76929689445779,43.76929689445779,41.03765739052888,41.03765739052888,43.294224173539746
5,AUS,Australia,1065471.831629146,1038997.7936335058,1021440.4132137296,1021258.0312249204,1014125.1019514437,1003342.6849966198,996630.7053538825,999929.0059806984,1005665.8230380883,1008443.3026401794,1002315.7530671498
6,BHS,Bahamas,169010.1770984772,158534.1956029898,150923.53039117585,150672.03371757126,145919.8634794972,143170.29003655142,143292.65213207577,144260.06677298507,144777.55674594574,146741.11637873726,149792.20831643674
7,BHR,Bahrain,64.12273359929266,85.60954416843626,90.37600798074342,91.91014928424063,83.97453877426847,59.296980761655234,57.32501576629938,57.76487167639895,59.30067844284396,58.53326905711226,58.3640047241607
8,BGD,Bangladesh,444717.1243083783,449692.2641123919,449022.5702917002,448125.7815258108,447875.3606747625,445904.8289186943,446483.4479517689,445335.92098919826,448136.25766012707,447395.4954749731,448554.51459818473
9,BRB,Barbados,9.77648307904455,10.309763128548466,10.606032283698614,10.428277413477264,10.961541087980581,10.131996822179902,9.539466362155762,9.361708736761733,9.361706033590124,9.894976258037328,10.843024411802038
10,BLZ,Belize,54901.63494590382,53330.37877665924,52465.47356448719,52077.990267201785,51687.3156841406,51348.459598025496,51158.511324258776,51415.6263716255,52146.39117743725,52471.94614000052,52248.79266577487
11,BEN,Benin,2911.7420994866998,2237.427409838062,2097.7388473220713,2287.8425985437916,2627.7894115237564,2834.389359671054,2958.7316940255296,2944.2946771443567,2933.219159716672,2903.668748264721,2851.027830685605
12,BMU,Bermuda,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052
13,BES,"Bonaire, Sint Eustatius and Saba",247.7411066667089,213.369087802232,203.91363135594298,199.69141353839734,192.43645933515643,186.60876300738818,182.68393166575243,184.46789015819974,183.1595849458443,181.49451148682982,183.9921463511883
14,BRA,Brazil,1147455.997846341,1135741.697751119,1131466.2703345686,1131356.0147137968,1126734.4505393864,1121166.668003505,1126387.9740584893,1135791.9341578388,1138684.2348167133,1138326.4545394764,1137557.8486183838
15,VGB,British Virgin Islands,91.94134726180998,83.92729597899005,82.48574055523866,86.81229462621228,90.10042958817084,92.52257610109919,95.11622352685612,96.38112618336443,97.87981727266904,94.41975193621047,98.39714724137463
16,BRN,Brunei,11462.156551419312,11478.874620133198,11458.94745906465,11498.38212136991,11482.996966345561,11435.504368926078,11394.918395401373,11398.734190148329,11452.039465864833,11534.118952675764,11499.53194845298
17,KHM,Cambodia,64655.7738698532,62504.26932651239,61700.14321790145,61428.48332999815,61293.021174011985,60841.48700052227,60786.343530842976,60874.94561245119,61064.16480396888,61450.13988399578,62101.360040799365
18,CMR,Cameroon,196355.8808257695,197243.78995995532,197145.7254085825,197155.83834544977,197361.3995970228,197819.20006805545,197295.87626784397,196956.9244982494,196934.07981263488,197407.04835807515,197080.73093516537
19,CYM,Cayman Islands,4683.590746331894,4530.657856164268,4483.387205752461,4474.315104517563,4459.154775217081,4429.113743657741,4417.741703090026,4419.123587319768,4426.651683167625,4438.71563639788,4431.533239003815
20,CHN,China,24499.185087696205,21863.4707428406,21051.126288817362,20377.741038211883,20099.920237834343,20690.22845803323,21240.977305879023,21345.44400218744,20983.196436885857,20927.271081592236,20655.793235432924
21,COL,Colombia,288023.58690658404,277148.38025962043,275522.3576945811,276512.6867327189,277454.4271418392,276195.8738221102,275243.12185002014,275215.26057577203,277191.3975004742,278758.14921403927,278415.65269605693
22,COM,Comoros,96.69653054701752,97.82565373729443,98.53877991463494,98.5984986803092,97.11299440295765,95.151673990847,94.61660533922146,95.5669362713612,98.00402169556052,98.1822659628657,96.99379098716767
23,COK,Cook Islands,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936
24,CRI,Costa Rica,37939.132408262856,38336.64654186913,38302.060094092936,38342.73451088758,38283.40783737836,38132.59626263067,38101.55541865625,38106.854101829405,37871.39281508252,37286.58862977735,36821.18257599239
25,CUB,Cuba,388882.38535378524,369208.13506733126,362808.105750855,362933.70887241105,359362.48686707276,349888.4580421279,346532.15176277445,347747.81197486114,350635.7572344923,351378.864631498,351014.7115798755
26,CUW,Curaçao,44.53385163526644,44.53385163526644,44.53385163526644,44.474377983813596,44.41490284116263,44.41490284116263,44.355427938967125,44.41490303352805,44.41490303352805,44.41490303352805,44.41490303352805
