,index,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,3,ASM,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08178752522956709,0.16357281445270372,0.27262240093235723,0.24535989251754625,0.10904732417047919,0.10904732417047919,0.10904732417047919,0.10904732417047919,0.19083150695761097,0.32714310214293335
1,5,AGO,Angola,105.6553091813542,164.2650292251593,169.9096361934236,166.52735285141492,175.65549494027317,163.41146569604848,181.91619390456881,170.10955397536006,177.86033873776975,180.6478714719765,320.5591045912953,470.78324711898074,457.2605916871279,468.03111089794027,508.93652792222815,637.348794626586,650.1529962766753,762.0311321686928,722.2627586217327,774.1213020910195
2,6,AIA,Anguilla,0.05049648685109501,0.05049648685109501,0.12624093473250264,0.3029781680294501,0.4292196047855985,0.3534750000183229,0.25248234010467885,0.17673770396575814,0.10099319333657777,0.10099325608771242,0.6151079011053905,0.6953367010642537,0.6953523028074723,0.5081449611209579,0.2139529243775671,0.18720807290181216,0.1872028833393182,0.42789480495640975,0.5081382094233461,0.4546484067748322
3,8,ATG,Antigua and Barbuda,3.9276637346374574,11.327993739403402,14.366246914355322,22.549621307891925,19.028448535705184,20.394681055607833,22.620739935558795,26.849433416365258,28.824059366218023,30.4191736267433,36.65016500954718,45.40098241402433,44.247563285479806,32.709069714489324,26.93788774137913,19.318982951991558,16.95960981749235,17.416502122868724,21.33476642440539,27.96532097841628
4,11,ABW,Aruba,0.20741693278555512,0.20741693278555512,0.23334492892847858,0.25927348937951894,0.33705756463170194,0.33705756463170194,0.33705756463170194,0.2852029837363045,0.2852029837363045,0.2852029837363045,4.311930791796846,5.959798727675985,6.289369853567999,6.152045323510828,5.575303110521173,5.575303110521173,5.575303110521173,6.7837394536636415,6.7837394536636415,5.740092987123773
5,12,AUS,Australia,8231.2173457793,12261.993932508865,12910.073595010046,11904.580694510178,10808.432066500782,10311.556038282893,11029.878667928024,11753.318683624258,12076.221958076621,11782.093599837384,20963.133307333665,33352.97710454746,34123.818299525075,36357.660946614866,40183.3374874559,42761.25601436304,41996.7118789551,40109.79151770893,39167.2679660912,41689.65599586338
6,15,BHS,Bahamas,131.14873827921588,298.5803004021045,460.2643608582322,432.07715803039923,355.99178027584117,284.32333174922314,356.75656953260057,412.7439840593769,520.8568129351482,587.6948060335607,4983.990504001473,8681.225400720274,8968.807802662734,11136.795702276195,12327.859432137288,12195.351636311145,11824.655377094852,11644.6255991448,10851.013488900839,9510.704079832054
7,16,BHR,Bahrain,11.441751292298479,13.690446276333674,14.38415346085213,11.10990057190438,1.1951241187009864,0.5017984260313695,0.502137044020817,0.9090956696584269,0.6938506505989359,0.8838726163045785,2.1823934645425394,2.359910270816703,2.3852031897592854,2.5870528754081388,3.4978352817655463,3.675436882410831,3.4723652661337656,3.193144018478312,3.3200631222762227,3.5996311064639137
8,17,BGD,Bangladesh,6818.142240431442,8019.555679286099,8429.14571140558,8989.094394302068,10360.602780339275,11202.685177864158,10882.667505365824,11893.256360608058,11953.8859019474,12605.516153002274,4921.280109680406,6503.629040428077,7352.253701153706,8061.207969779358,10425.361741760384,11049.746360612968,11241.484764690158,11016.834096466666,11423.654465494308,11577.867990359022
9,18,BRB,Barbados,0.23283819802858252,0.4656729462335969,0.3880624605016735,0.5174143897126605,0.25870637779403677,0.10348113932378797,0.07761030405965323,0.10348007251829716,0.2328302540214408,0.5174090331193723,0.0,0.109612238437958,0.109612238437958,0.0,0.10961704693816343,0.21923296385912766,0.27404045355714807,0.3014447513398662,0.19182763230534824,0.054807465626097826
10,21,BLZ,Belize,260.26725406831355,404.02759538705016,392.6033291803865,339.3937377479204,299.37437320752775,288.7637881028697,326.1323815483597,453.26096051799027,517.227827526249,503.29067055601206,1002.3881391478853,1554.6816877032247,1721.7886491144504,1846.109652199798,1960.4369606952973,2037.0472527874927,1957.716727028746,1754.4064605812239,1671.5976798865836,1760.0414116547618
11,22,BEN,Benin,44.21417151908884,92.96684804636443,152.4329834703104,196.6761875541284,221.1328205946806,230.6288915784213,233.0821350309622,224.63935281347426,220.57703716642828,230.39039686071294,358.70056899987014,474.94776521387473,450.01674302225445,339.6591638391476,270.01427937769614,222.56570824398335,231.84137339537057,228.02054456919927,237.38431902167775,272.12536699886147
12,26,BES,"Bonaire, Sint Eustatius and Saba",0.2596481261507829,0.3115777682821541,0.3115771998513201,0.2596471157090575,0.28561163151435304,0.3115759575501369,0.3894679885130068,0.31157446244764636,0.28561045221517306,0.36350532587304035,16.171857279517088,20.599947690791105,22.55269350832765,25.853051509734332,28.57582400173952,30.41853445098159,29.675974662070708,30.19854652837094,30.941128565166935,29.868501421512164
13,30,BRA,Brazil,10003.962270967657,14105.45562086848,14890.058332659162,14460.750846206523,17218.891163076343,21412.142000965665,25928.201432651163,28891.123107056854,30917.248070478607,31091.49382463973,16014.671032443683,22336.6118868972,23218.709791588317,24901.398952810938,30398.072652999326,32425.03610249648,32859.49228668231,34660.35483392211,36972.03739055844,37512.0854430113
