,index,region,name,2007_count_gain,2008_count_gain,2009_count_gain,2010_count_gain,2015_count_gain,2016_count_gain,2017_count_gain,2018_count_gain,2019_count_gain,2020_count_gain,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain,2007_count_loss,2008_count_loss,2009_count_loss,2010_count_loss,2015_count_loss,2016_count_loss,2017_count_loss,2018_count_loss,2019_count_loss,2020_count_loss,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,3,ASM,American Samoa,0,0,0,1,5,0,0,0,0,0,0.0,0.0,0.0,0.05894684922795811,0.2947343029471562,0.0,0.0,0.0,0.0,0.0,3,3,4,0,0,0,0,0,3,5,0.17684054765173143,0.17683571297064035,0.2357864300225244,0.0,0.0,0.0,0.0,0.0,0.17683332064065496,0.29473219878206014
1,5,AGO,Angola,4010,2224,4404,3487,4250,2321,5115,3242,6669,3622,241.98722111595887,134.23654138799927,264.82163396625333,210.01517145087305,256.2448594394232,140.1457835767575,308.1050380201533,195.49566648382188,400.82413233550994,217.8373143281688,11513,5391,3690,3996,5376,7417,4889,7724,4943,5384,693.1111737585628,324.8138339012104,222.65491771055227,241.0497295510158,323.7837280973288,445.8411608957472,293.4079826917332,464.4392620948179,297.0851893624457,323.58116379458056
2,6,AIA,Anguilla,2,0,7,16,17,2,6,0,4,4,0.11565442971011157,0.0,0.4047566262333973,0.9252223485087592,0.9830642334690579,0.11565457343620339,0.3469530027632942,0.0,0.23128720861383917,0.23130993734366723,23,3,4,2,1,4,10,12,10,2,1.3299829991317622,0.17347028024559347,0.2313093624564112,0.11565421411584037,0.057827214855055785,0.2313083563660681,0.5782499226550137,0.6939042087716366,0.5782702081447944,0.1156544297066893
3,8,ATG,Antigua and Barbuda,155,292,579,939,499,594,497,627,458,226,8.995709160165699,16.94931667012144,33.59740864527377,54.4832324627313,28.957154487693263,34.460738566348056,28.828472618760614,36.377049039978544,26.56881694190295,13.110502887711617,1366,326,416,186,423,256,321,477,526,410,79.2447898823525,18.920970378604906,24.144840813278293,10.792004352696651,24.54344001667438,14.858038293753818,18.628603517641473,27.67976767474329,30.518290199507128,23.793688659990273
4,11,ABW,Aruba,8,0,7,15,36,0,0,2,0,40,0.4750565548108766,0.0,0.4156919168597186,0.8907697062234373,2.1377992109614943,0.0,0.0,0.11876264627427244,0.0,2.3753294292851463,157,60,18,9,12,0,0,48,0,2,9.323233592377452,3.5630111978647703,1.068904750844869,0.5344619688293751,0.7126178462605626,0.0,0.0,2.8504021502031875,0.0,0.11876264627427244
5,12,AUS,Australia,330344,160787,280477,232831,277505,243347,324438,345986,351318,263151,18852.336218028202,9231.873274704238,16280.870881542738,13459.856701755158,16069.510559150176,14072.052729743957,18799.751494343956,20040.421953461417,20392.67460957601,15293.117423747546,777711,460236,283816,354031,461637,358386,267153,246677,303646,368711,45326.374213667594,26789.253694481686,16463.252870351407,20592.7859752325,26851.927513973867,20784.032372481233,15501.450867528147,14303.604896071442,17615.195007484686,21420.666996777218
6,15,BHS,Bahamas,5406,6926,54280,31714,67170,73939,65077,61108,73424,85446,300.3759960096012,383.4762186505633,3003.4956614032503,1762.0478623574013,3711.720948426067,4079.583827047436,3580.1154219218747,3380.7331693762007,4057.0291340758035,4733.118432089383,193591,144829,58987,118177,116422,71726,46970,51872,37818,30527,10776.357491497052,7994.141430464535,3254.9923350078107,6514.218100431425,6461.294391371872,3957.221731523046,2612.7007810126197,2863.2431964155226,2093.469501284328,1682.0264943898733
7,16,BHR,Bahrain,479,94,52,21,0,0,13,29,0,24,26.205569993371086,5.150289697132451,2.8502343458793176,1.152582510311058,0.0,0.0,0.713507578187337,1.5906934563131512,0.0,1.3126266621095395,86,7,24,166,451,36,5,1,14,27,4.718759424227476,0.38382588482529156,1.316093042382108,9.088193020283242,24.677558012613225,1.971964995355853,0.27365166808776653,0.05488668986813257,0.7674093857317084,1.481890995061095
8,17,BGD,Bangladesh,276695,48737,58318,54141,124975,74803,65728,94055,71968,84716,15615.90521781856,2751.6525362751386,3291.759081739901,3058.3163819642687,7056.976958941156,4225.299741463947,3711.8332556731116,5308.4616150718875,4063.9186508740254,4785.386685349569,188385,60575,74230,58632,160000,64609,86082,44440,85170,64252,10640.76541380469,3421.3463569672904,4188.547847628916,3308.7372330128546,9027.5087150097,3646.6807083890208,4859.3602182436725,2508.124944142883,4804.68083602785,3626.367562138219
9,18,BRB,Barbados,9,9,1,12,0,0,1,1,9,17,0.533280049503915,0.5332721482140975,0.05925332151296577,0.7110234831515013,0.0,0.0,0.059250774272196396,0.05925072226588403,0.5332702244472038,1.007301579202197,0,4,4,3,14,10,4,1,0,1,0.0,0.2370029930639492,0.23700819173431284,0.17775980864818533,0.8295442658006806,0.5925304600241382,0.23700839966622844,0.059253425437490286,0.0,0.059253425437490286
10,21,BLZ,Belize,10267,5671,5201,8119,11230,9984,10598,23795,15261,5286,596.1020799377608,329.26093134316596,302.02993091981364,471.3318271772634,652.1398743236175,579.6298469168454,614.8337172132551,1382.512286116701,887.7340270730982,306.80128337690485,37330,20566,11886,14853,17068,13250,6162,11228,9683,9131,2167.3582491823527,1194.1661435152014,689.5132282052391,862.0064102384423,990.9959604387233,769.5781206835835,357.7186698465167,651.7474803049547,562.1790645098276,529.9547576025427
11,22,BEN,Benin,1676,1848,5288,7089,5655,4029,2201,2877,2491,2609,101.26575354091968,111.66050060532743,319.5227129014163,428.3411113473149,341.6948979292293,243.43354097833065,132.98577643796892,173.81567225772616,150.50734188547472,157.63365499153605,12836,4160,2142,1463,2236,1971,2440,3060,2980,3480,775.580443189557,251.34906312131804,129.418961679696,88.39429836735023,135.09494978193123,119.09120662385544,147.42279331914148,184.89118968541132,180.05775333742542,210.27457257065214
12,26,BES,"Bonaire, Sint Eustatius and Saba",10,2,74,42,59,50,88,64,42,98,0.5946840627511244,0.118936851259855,4.400570777727713,2.4975970437139843,3.5085475657042005,2.9733424171512866,5.233073817427433,3.8058559113907573,2.497603218951635,5.827783353860869,588,161,145,164,157,116,58,86,70,56,34.96670292722805,9.574393297548884,8.622788595273361,9.752551246954884,9.336243893472457,6.898173758787011,3.4491153249801174,5.114161123746202,4.162676677966103,3.3301484895023896
13,30,BRA,Brazil,379324,155978,173631,159150,372795,321908,343209,283657,296402,240875,22912.535573059333,9394.080526926102,10424.710482763505,9572.076262766514,22536.31343466511,19456.662032398726,20744.34476885143,17118.51633088776,17874.26885836413,14555.087476141953,573350,226963,174626,235465,464952,236220,188326,236376,303835,253533,34626.83566828166,13669.50794347603,10534.966103535335,14193.640437177195,28104.09597054623,14235.355977414001,11340.384669502,14226.215672013735,18232.049135601137,15323.693397234392
14,31,VGB,British Virgin Islands,65,33,142,118,99,133,148,94,163,100,3.7499636212963576,1.9032692871488566,8.190127753710236,6.805269106996764,5.709679638231674,7.669328963146706,8.533706373962366,5.420305731920935,9.399117163909338,5.765528961550393,204,58,67,61,57,88,126,68,223,31,11.764014904116287,3.3448247109002502,3.863573682736628,3.5171341450382103,3.2875331253033058,5.075681537389781,7.268803717454059,3.9216146426163085,12.859182500367913,1.7881336563862402
15,32,BRN,Brunei,1640,748,1153,549,774,460,743,1115,1941,306,99.33916903484268,45.309123849127666,69.84172414018573,33.25538928964165,46.884526248163596,27.863133773046563,45.00586498629187,67.5399956922242,117.57455536357214,18.53515544686413,1364,1077,502,803,1558,1130,680,235,586,877,82.62110032095738,65.23628491767708,30.407061834925113,48.640544313989466,94.37712366764703,68.44910729775273,41.19007023933611,14.23471997571799,35.49506855264172,53.1221596696515
16,36,KHM,Cambodia,2772,2971,7134,7945,8951,10757,10555,11932,15690,18269,165.4522239601518,177.4046957217044,425.9023977250147,474.41531802689656,534.5271987779578,642.1450556591137,630.0180652610452,712.3258631883862,936.5052705718288,1090.9091630439857,38802,16441,11687,10219,16520,11685,9070,8765,9225,7363,2316.9567673009883,981.5308043326304,697.5622856283223,609.8774740130586,986.0613722676769,697.2885253383997,541.4159836528363,523.1066716706721,550.5301905449588,439.6890062403886
17,37,CMR,Cameroon,27490,11252,9893,14463,19024,8511,8534,11238,17173,9170,1666.433384332855,682.1927270206901,599.7572906283918,876.8867431381466,1153.1868669407813,515.9505387184257,517.3727208100806,681.1838282455411,1040.8757754784174,556.0342003669804,12841,12871,9727,11075,11472,17145,14125,11612,9369,14558,778.5242501471664,780.2572783934781,589.6443537610878,671.3254915651244,695.3863959081656,1039.2743389297943,856.3244904047585,704.0285138599774,567.9072300382002,882.351623276806
18,40,CYM,Cayman Islands,366,118,184,288,394,358,383,402,641,234,21.022116293125045,6.775287876632717,10.567599629545015,16.543346325599074,22.63327240624065,20.56497233276397,22.000835553003043,23.09093824277256,36.81976175021016,13.436060399324624,3029,941,342,552,917,556,359,271,431,359,173.95500646075243,54.045938288438464,19.63970086444316,31.703675626082152,52.67430396558002,31.937012900479576,20.61895132325926,15.56284239491751,24.7558085199538,20.618457793391293
19,44,CHN,China,38488,19551,14956,26230,44581,27279,22824,23803,29233,27499,2153.935495750287,1099.8196171223606,847.4249224902724,1488.0222342049337,2527.6871443055816,1548.0143173336992,1295.094963434141,1349.6300290233066,1658.2598770153172,1551.6587919087829,84814,33696,26920,31327,34437,17597,20980,30158,30246,32186,4789.649840605882,1912.1640711455998,1520.8101730957494,1765.8430345824706,1937.3789241066975,997.2654694878978,1190.6282671257354,1711.8775943248834,1714.1852323089392,1823.136638068094
20,47,COL,Colombia,74692,37046,56410,62012,60673,47178,37429,61370,56376,47752,4492.842060970196,2229.369182604735,3392.2642899337925,3722.756986226103,3652.5477902763528,2835.2798565841276,2255.2176870836875,3691.3738676408807,3389.058459014669,2864.656753400976,256541,64109,39948,46201,81720,62979,37969,28486,30209,53087,15368.048707933727,3855.3917476441397,2401.9352517959155,2781.016577105791,4911.1011100054275,3788.0318286741867,2283.078961331861,1715.236942938644,1822.3067454496465,3207.1532713833294
21,48,COM,Comoros,23,19,13,1,8,10,25,47,6,7,1.3667813145157854,1.129102168581119,0.7729739976026063,0.05941813181824342,0.47550446360468723,0.5941463653462765,1.4858228706563075,2.793585712839295,0.3564880456711101,0.4159076012500393,4,7,12,26,41,19,9,6,3,27,0.2376581242388801,0.4159759912405928,0.7132552319283638,1.5449224091698046,2.4368248757153035,1.1292150169718254,0.5354919385165654,0.35650028863998356,0.17824377836592797,1.604382576948071
