,0,1,2,3,4,5,6,7,8,9,10
2007,9381.371671598405,8039.877475854009,7272.442366808653,6811.371296577156,6490.51323550567,6275.697321917862,6113.17254075408,5998.259520571679,5892.089367419481,5801.592093653977,5743.351820085198
2008,3443.335400901735,2055.36455097422,1446.7186539061368,1116.9338263086975,917.5218570530415,795.0682868659496,708.7281373925507,647.325672801584,607.8821679390967,579.4404550790787,553.5999830514193
2009,6093.213207766414,3215.59906360507,2080.7750232107937,1536.734173271805,1247.4415850527585,1088.0639725476503,973.7948979996145,907.2430345080793,855.5049271434546,822.7465405575931,788.799974963069
2010,6223.031030341983,3242.7031349875033,2087.928655989468,1508.9574851095676,1194.1073657646775,998.8314708694816,870.9957375861704,786.2458270043135,724.9597093500197,667.705070361495,630.272744063288
2015,9362.753295291215,6241.590027559549,4987.859919570386,4373.4161609485745,4039.2489622347057,3834.4683169461787,3674.1709906458855,3553.2099848799407,3461.009791933,3375.215611152351,3301.0238099098206
2016,7632.756464134902,4324.102929029614,3048.3392736688256,2386.1858816109598,2001.3314833529294,1755.8224211707711,1588.4041150473058,1457.1615083552897,1355.888234846294,1270.9136528223753,1199.4735484160483
2017,7914.074244644493,4110.2337502241135,2506.1367477960885,1666.0367987938225,1204.7851889058948,958.9990066811442,810.0208288952708,710.7800538986921,636.3025757744908,586.6258364655077,551.2755141817033
2018,6877.905393723398,3420.2931789830327,1981.5357076637447,1260.16100833565,869.2179547920823,641.4905618615448,509.7045176997781,415.19669469818473,358.9040113314986,309.94237184152007,272.19370268285275
2019,7538.975081458688,4535.234069183469,3198.1216292008758,2404.620805401355,1897.8596412353218,1535.8830137774348,1297.7038454934955,1103.490415956825,981.3419491872191,879.5163283757865,805.595486626029
2020,7425.5740673951805,5287.775612384081,4226.4012604132295,3559.1856261715293,3114.372606497258,2794.3997384011745,2546.4634888991714,2376.5548967048526,2236.259574316442,2122.8711200989783,2035.390990357846
