,region,name,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
0,ASM,American Samoa,0.13730199152552774,0.2746002293229032,0.4576688006810067,0.4119014701641786,0.18306477347383923,0.18306477347383923,0.18306477347383923,0.18306477347383923,0.32036115382576036,0.5491962168067382
1,AGO,Angola,538.1432356399685,790.3341888002604,767.6328353078371,785.7140002930553,854.3845610644253,1069.9585120468873,1091.4537508564379,1279.2707904724557,1212.5090578927934,1299.5673381862794
2,AIA,Anguilla,1.032621290200451,1.167306549121488,1.1673327407736886,0.8530557068420384,0.3591765679092928,0.314278261469913,0.3142695494167782,0.718334595881662,0.8530443723319687,0.7632475920854211
3,ATG,Antigua and Barbuda,61.52699487391835,76.21755622466826,74.28123717150842,54.91082411579262,45.22236886372203,32.432022195448944,28.471190403445313,29.238204972779506,35.816047870144466,46.947187278373406
4,ABW,Aruba,7.238716214632754,10.005098358268917,10.558370655080331,10.327835113025063,9.359620776938362,9.359620776938362,9.359620776938362,11.388300775258017,11.388300775258017,9.636264166957496
5,AUS,Australia,35192.16339696149,55991.7929648296,57285.853775732845,61035.94944544758,67458.35929970826,71786.07733178473,70502.58780075875,67334.89293871261,65752.61788718624,69987.11329361616
6,BHS,Bahamas,8366.946181865089,14573.732767377933,15056.515886240664,18696.05694564618,20695.572418020834,20473.12303825881,19850.81132875791,19548.583733815292,18216.295919390992,15966.23210331382
7,BHR,Bahrain,3.6637246099929826,3.9617335173695167,4.004194371057933,4.34305245180556,5.8720415964004005,6.17019285355451,5.829283439082227,5.360536728972982,5.573604011118702,6.0429328101990585
8,BGD,Bangladesh,8261.670199917164,10918.061365564059,12342.702295195482,13532.86953292034,17501.726889277124,18549.92160363896,18871.805224127907,18494.669663930337,19177.625245528645,19436.51343201753
9,BRB,Barbados,0.0,0.18401313147523757,0.18401313147523757,0.0,0.18402120381454118,0.3680405105963567,0.4600493770454985,0.506054738515533,0.32203341366819327,0.09200882603805335
10,BLZ,Belize,1682.7735941424205,2609.944381013657,2890.477610685781,3099.1832936631977,3291.111917229262,3419.722553705741,3286.5452855970657,2945.2352336976237,2806.2187947815282,2954.6949893556416
11,BEN,Benin,602.173770960582,797.3254338167599,755.4721195360252,570.2077364990511,453.2903788790206,373.63540346054117,389.2070605614824,382.79278887837467,398.51236074355177,456.834397772578
12,BES,"Bonaire, Sint Eustatius and Saba",27.148739430760898,34.58246028753554,37.860660586888606,43.40118434119498,47.972078063359916,51.06555489586802,49.81897190465919,50.69624698734254,51.94286732751043,50.1421789881242
13,BRA,Brazil,26884.860743845937,37497.91043799743,38978.74506032687,41803.58383990597,51031.20435640283,54433.998579412306,55163.348185625015,58186.572247066244,62067.342791352734,62973.95627443749
14,VGB,British Virgin Islands,9.133780098058535,11.730758563737393,10.163091798288846,9.491390920514686,8.237504834891567,7.610659555309415,9.357129752950952,8.461911673203973,9.134493404582285,8.732286298499437
15,BRN,Brunei,64.14841939100273,114.79897413008784,106.0034870693828,117.90200150310226,160.2318573314871,180.644030828955,178.71605137160492,152.04963753515992,132.29525219179916,164.1812053767506
16,KHM,Cambodia,1798.924413282656,2561.0015272029923,2759.898717257803,2882.8315321903774,3250.265742961584,3330.5200813174383,3291.597873841337,3161.248024076505,2963.4536017735154,2613.9809525875744
17,CMR,Cameroon,604.4593924614976,1146.9879172651154,1246.0374835181838,1314.196838683581,1340.6814187489565,1678.119187410213,1831.862655409871,1886.7181256219676,1776.026320834051,2100.3211247624595
18,CYM,Cayman Islands,135.0616085510834,177.02378894130976,182.06113932528612,192.0477808150028,212.7853783958595,220.14292899180734,218.44594211691356,213.85116695925626,209.97083955903187,215.59231193934252
19,CHN,China,3718.765128008103,5203.401647054088,5523.977912502882,5063.437117915597,4222.46974752862,3815.7089383121534,3904.065448089975,4443.957980967767,4859.444219592755,5116.096961509871
20,COL,Colombia,11932.012886638193,14925.404233203852,14369.81003446455,13712.615102128735,14854.239200597996,15606.547813378005,15860.355958685966,15000.20742377465,14024.905886013712,13652.144045468978
21,COM,Comoros,0.1845217863975556,0.5074925800450591,0.6920656578107203,1.1534329816861841,1.8918445191667639,2.215008582168611,1.7999452308086679,0.922789251050789,0.646005904269475,0.3230882097670943
22,CRI,Costa Rica,607.6951762004493,925.5175444948693,999.830760344453,1080.8472773236206,1243.5036407103744,1292.1252487595157,1310.3315513931866,1414.2216796050313,1769.7446640404096,2159.7630049455724
23,CUB,Cuba,19015.904275034096,25541.13150565176,25770.88595400122,28386.878442777863,35120.98429799914,37601.99378739664,36912.84971478971,35594.864266508615,35867.62679541354,36322.99270659908
24,CUW,Curaçao,0.0,0.0,0.04617634867232146,0.09235385513607941,0.09235385513607941,0.13853117490615174,0.09235370578031582,0.09235370578031582,0.09235370578031582,0.09235370578031582
25,CIV,Côte d'Ivoire,119.40088279327281,196.94325342607067,208.73293024441415,228.66400859859021,386.50667388959357,482.9010349453201,527.8996034971583,530.6726693361784,518.9641639435122,515.0097134315989
26,COD,Democratic Republic of the Congo,155.85786571797843,281.43667687801315,281.06083625764785,324.29805750352506,336.3627414602199,366.3611023232842,371.8071761553807,369.31875345356457,377.8625360289228,423.680345995213
27,DJI,Djibouti,155.10218644618573,205.89806331211187,218.1248306713844,217.1853548770921,192.02189875735553,179.19783891170232,181.4446452316894,176.9571733323986,172.84581355033492,165.68600531351404
